Z;Unit;Year;Hydrocarbon;Sector;Production source;Reason;Value
Algeria;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Fugitive;1.870.173.333.333.330
Algeria;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Incomplete-flare;0.0
Algeria;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Vented;4.666.633.333.333.330
Algeria;Thousand tonnes;2023;Gas;Downstream;Downstream gas;Fugitive;45.263.333.333.333.300
Algeria;Thousand tonnes;2023;Gas;Downstream;Downstream gas;Vented;7.148.766.666.666.660
Algeria;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Fugitive;0.0
Algeria;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Incomplete-flare;0.0
Algeria;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Vented;0.0
Algeria;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Fugitive;39.306
Algeria;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Incomplete-flare;0.0
Algeria;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Vented;9.808
Algeria;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Fugitive;2.853.883.333.333.330
Algeria;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Incomplete-flare;4.777.066.666.666.660
Algeria;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Vented;11.415.533.333.333.300
Algeria;Thousand tonnes;2023;Oil;Downstream;Downstream oil;Fugitive;0.2235923333333333
Algeria;Thousand tonnes;2023;Oil;Downstream;Downstream oil;Vented;13.112.366.666.666.600
Algeria;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Fugitive;0.0
Algeria;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Incomplete-flare;0.0
Algeria;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Vented;0.0
Algeria;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Fugitive;0.0
Algeria;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Incomplete-flare;0.0
Algeria;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Vented;0.0
Algeria;Thousand tonnes;2023;Satellite-detected large emitters;Satellite - downstream;Satellite - downstream;Fugitive;3.4
Algeria;Thousand tonnes;2023;Satellite-detected large emitters;Satellite - upstream;Satellite - upstream;Fugitive;73.7
Angola;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Fugitive;5.830.299.999.999.990
Angola;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Incomplete-flare;0.0
Angola;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Vented;145.484
Angola;Thousand tonnes;2023;Gas;Downstream;Downstream gas;Fugitive;12.926.666.666.666.600
Angola;Thousand tonnes;2023;Gas;Downstream;Downstream gas;Vented;20.416.066.666.666.600
Angola;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Fugitive;0.0027644366666666
Angola;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Incomplete-flare;0.0
Angola;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Vented;0.0068981
Angola;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Fugitive;0.0
Angola;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Incomplete-flare;0.0
Angola;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Vented;0.0
Angola;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Fugitive;42.449.666.666.666.600
Angola;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Incomplete-flare;12.193
Angola;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Vented;16.979.866.666.666.600
Angola;Thousand tonnes;2023;Oil;Downstream;Downstream oil;Fugitive;0.0628343333333333
Angola;Thousand tonnes;2023;Oil;Downstream;Downstream oil;Vented;0.3684866666666667
Angola;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Fugitive;1.413.613.333.333.330
Angola;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Incomplete-flare;5.049.033.333.333.330
Angola;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Vented;5.654.433.333.333.330
Angola;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Fugitive;0.0
Angola;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Incomplete-flare;0.0
Angola;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Vented;0.0
Angola;Thousand tonnes;2023;Satellite-detected large emitters;Satellite - downstream;Satellite - downstream;Fugitive;0.0
Angola;Thousand tonnes;2023;Satellite-detected large emitters;Satellite - upstream;Satellite - upstream;Fugitive;0.0
Argentina;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Fugitive;15.659.666.666.666.600
Argentina;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Incomplete-flare;0.0
Argentina;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Vented;3.907.566.666.666.660
Argentina;Thousand tonnes;2023;Gas;Downstream;Downstream gas;Fugitive;39.462
